MJD filter mag dmag
59919.157900 B 16.4799 0.0729
59919.206070 B 16.4321 0.0080
59919.208680 B 16.4394 0.0090
59919.232540 B 16.4754 0.0629
59919.276940 B 16.4240 0.0719
59919.650510 B 16.4324 0.0078
59919.653160 B 16.4390 0.0095
59920.032190 B 16.3526 0.1065
59920.082030 B 16.3527 0.0580
59920.093970 B 16.3455 0.0092
59920.096590 B 16.3459 0.0084
59920.185400 B 16.3408 0.0527
59920.194390 B 16.3482 0.0729
59920.228090 B 16.3225 0.0957
59920.235550 B 16.3263 0.1260
59920.552290 B 16.3146 0.1552
59920.783580 B 16.3108 0.0177
59920.786200 B 16.3090 0.0178
59921.209780 B 16.2515 0.0124
59921.212420 B 16.2518 0.0070
59921.496680 B 16.2522 0.0067
59921.499310 B 16.2573 0.0070
59921.508800 B 16.2857 0.1115
59921.564590 B 16.2945 0.0836
59921.611560 B 16.2570 0.0981
59921.669650 B 16.2011 0.1192
59921.695510 B 16.2508 0.1724
59921.798350 B 16.3373 0.0354
59921.800970 B 16.3085 0.0432
59922.509410 B 16.2605 0.0694
59922.557420 B 16.3382 0.0638
59922.575240 B 16.2422 0.0076
59922.577870 B 16.2419 0.0074
59922.612140 B 16.2874 0.1013
59922.629160 B 16.3164 0.0898
59922.837810 B 16.2868 0.0156
59922.840420 B 16.2916 0.0198
59923.016060 B 16.2845 0.0153
59923.018680 B 16.3010 0.0239
59923.485150 B 16.2665 0.0060
59923.487780 B 16.2722 0.0060
59923.570690 B 16.2433 0.0536
59923.649780 B 16.2521 0.0759
59923.658270 B 16.2135 0.0728
59923.689320 B 16.2535 0.0803
59923.709900 B 16.2070 0.0970
59923.748640 B 16.2173 0.0812
59924.187390 B 16.2419 0.0075
59924.190010 B 16.2501 0.0081
59924.553750 B 16.3255 0.0519
59924.634510 B 16.3210 0.0675
59924.653570 B 16.2990 0.0602
59924.681650 B 16.2692 0.0800
59924.695540 B 16.2829 0.0778
59924.894250 B 16.2308 0.0075
59924.896890 B 16.1988 0.0073
59925.195100 B 16.1865 0.0090
59925.197720 B 16.2273 0.0136
59925.511130 B 16.1406 0.1505
59925.633070 B 16.2904 0.0091
59925.635700 B 16.2887 0.0067
59926.029010 B 16.3592 0.0747
59926.040680 B 16.3709 0.0793
59926.133040 B 16.3273 0.0455
59926.173270 B 16.3660 0.0472
59926.248510 B 16.2949 0.0691
59926.294770 B 16.2992 0.0782
59926.512230 B 16.3040 0.0647
59926.537700 B 16.3794 0.0645
59926.624530 B 16.2805 0.0067
59926.627160 B 16.2994 0.0059
59926.630340 B 16.2979 0.0899
59926.691970 B 16.3754 0.0801
59927.205150 B 16.3481 0.1433
59927.226140 B 16.3442 0.2170
59927.259360 B 16.4097 0.2376
59927.291560 B 16.3920 0.2789
59927.701620 B 16.3769 0.0825
59928.094480 B 16.3418 0.0461
59928.120070 B 16.4092 0.0522
59928.130780 B 16.4159 0.0526
59928.221520 B 16.4562 0.0581
59928.265650 B 16.5008 0.0489
59928.294540 B 16.4376 0.0626
59928.589370 B 16.3582 0.0053
59928.592000 B 16.3579 0.0054
59929.173050 B 16.3612 0.3648
59930.038000 B 16.3834 0.0614
59930.045450 B 16.4278 0.0525
59930.057320 B 16.4723 0.0608
59930.190240 B 16.4057 0.0782
59930.198530 B 16.4621 0.0683
59930.259060 B 16.4269 0.0932
59930.516340 B 16.4481 0.1136
59930.617390 B 16.4045 0.0701
59931.182600 B 16.4126 0.0673
59931.548600 B 16.3432 0.0153
59931.551220 B 16.3653 0.0055
59931.573390 B 16.3274 0.3455
59931.665560 B 16.4434 0.0591
59932.075970 B 16.4060 0.0388
59932.139510 B 16.3928 0.0590
59932.226090 B 16.4187 0.0741
59933.058720 B 16.4522 0.0100
59933.084080 B 16.5131 0.0525
59933.131190 B 16.4650 0.0454
59933.219910 B 16.5189 0.0705
59933.274400 B 16.5556 0.0744
59934.148680 B 16.5172 0.0122
59934.219890 B 16.5717 0.0768
59934.245790 B 16.5937 0.0685
59935.126860 B 16.5856 0.0678
59935.134530 B 16.6229 0.0629
59935.177230 B 16.5728 0.0587
59935.222920 B 16.6336 0.0615
59935.230350 B 16.6505 0.0730
59935.851690 B 16.6831 0.0344
59936.081710 B 16.6361 0.0504
59936.134550 B 16.6018 0.0764
59936.184610 B 16.5884 0.0696
59936.237810 B 16.7239 0.0618
59936.283140 B 16.6302 0.0782
59937.161290 B 16.6817 0.0625
59937.899830 B 16.7342 0.0091
59938.109910 B 16.7485 0.0517
59938.152220 B 16.6972 0.0658
59938.232710 B 16.7507 0.0620
59939.129800 B 16.7291 0.0613
59939.172660 B 16.7382 0.0647
59939.233020 B 16.7819 0.0658
59939.874570 B 16.9133 0.0299
59940.056320 B 16.7576 0.0618
59940.106320 B 16.7979 0.0779
59940.131350 B 16.8243 0.0554
59940.179870 B 16.8133 0.0683
59940.229640 B 16.8433 0.0723
59940.516730 B 16.9022 0.1873
59941.035410 B 16.9492 0.0768
59941.085030 B 16.8066 0.0550
59941.155560 B 16.9022 0.0723
59941.201050 B 16.9225 0.0583
59941.812490 B 16.9810 0.0190
59942.034900 B 16.9601 0.0757
59942.154740 B 16.9038 0.0614
59942.195430 B 16.9713 0.0601
59942.252060 B 17.0279 0.0835
59942.517240 B 17.0143 0.1741
59943.081630 B 17.0981 0.0632
59943.167260 B 17.0988 0.0898
59943.191750 B 17.0190 0.0591
59943.251590 B 17.0925 0.0656
59943.517370 B 17.0458 0.1068
59943.787600 B 17.1185 0.0178
59944.089330 B 17.1766 0.1102
59944.119480 B 17.1445 0.0976
59944.188690 B 17.1973 0.1181
59944.517550 B 17.1863 0.1034
59944.850240 B 17.1361 0.0287
59945.862030 B 17.2399 0.0908
59945.921750 B 17.2436 0.0284
59946.101980 B 17.2257 0.1152
59946.163570 B 17.2107 0.1176
59947.065030 B 17.2296 0.1642
59947.111980 B 17.2633 0.0165
59947.115200 B 17.2460 0.1191
59948.097250 B 17.2842 0.1715
59948.138030 B 17.2959 0.1704
59948.171150 B 17.2948 0.1477
59948.242140 B 17.3045 0.1862
59950.926270 B 17.3436 0.0399
59954.836810 B 17.3938 0.0222
59956.146570 B 17.4113 0.0910
59958.540910 B 17.4720 0.0115
59960.105990 B 17.4130 0.0716
59963.035450 B 17.5571 0.0131
59964.135300 B 17.5740 0.0159
59967.127770 B 17.6453 0.0223
59970.061750 B 17.6353 0.0168
59970.430850 B 17.6145 0.0146
59972.078430 B 17.6469 0.0176
59974.117360 B 17.6867 0.0205
59974.143860 B 17.6857 0.1485
59974.551430 B 17.6857 0.2063
59975.038370 B 17.7083 0.0181
59975.143470 B 17.7469 0.1621
59977.114770 B 17.7892 0.1698
59978.027620 B 17.7950 0.1627
59978.479570 B 17.8299 0.0193
59979.834230 B 17.8428 0.0243
59983.437380 B 17.8380 0.0132
59987.057820 B 17.9302 0.0128
59991.039190 B 17.9588 0.0162
59991.460480 B 17.9232 0.0394
59993.045950 B 18.0258 0.0160
59995.025520 B 18.0582 0.0135
59995.032840 B 18.0060 0.0168
59999.432930 B 18.0945 0.0153
60003.419660 B 18.1421 0.0222
60007.414050 B 18.1508 0.0231
60011.402850 B 18.3177 0.0272
60017.004130 B 18.5011 0.0216
59919.328652 B_S 16.4745 0.0615
59919.738032 B_S 16.3723 0.0363
59919.871413 B_S 16.2595 0.0528
59920.428974 B_S 16.2683 0.0490
59920.738299 B_S 16.2576 0.0659
59921.385020 B_S 16.3626 0.0549
59922.450545 B_S 16.2429 0.0506
59922.781488 B_S 16.2485 0.0505
59923.171195 B_S 16.1543 0.0464
59923.513126 B_S 16.2044 0.0444
59924.366473 B_S 16.2858 0.0520
59924.630901 B_S 16.2482 0.0506
59925.465145 B_S 16.2386 0.0577
59926.792571 B_S 16.2904 0.0493
59927.418199 B_S 16.3135 0.0607
59928.143408 B_S 16.1928 0.0687
59929.747284 B_S 16.2928 0.0532
59930.463233 B_S 16.3738 0.0564
59931.462698 B_S 16.3457 0.0724
59932.721492 B_S 16.4846 0.0577
